Nr.,Categorie,Produs,Producător,Țară,Preț (MDL)
38,Sănătate - Medicamente OTC,Piracetam sol.inj. 200mg/ml 5ml  N5x2 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"25,2"
39,Vitamine și Minerale,Rivaroxaban-BP comp.filmate 20mg N14x2 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"187,92"
40,Sănătate - Medicamente OTC,Sanocard comp. gastrorezis. 100mg N10x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"22,2"
41,Sănătate - Medicamente OTC,Sanocard comp. gastrorezis. 75mg N10x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"18,72"
42,Sănătate - Medicamente OTC,Sanocard comp. gastrorezis. 75mg N10x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"17,7"
43,Vitamine și Minerale,"Weight control 8,8g plic N30 Balkan","Balkan Pharmaceuticals SRL, SC",Republica Moldova,910
44,Sănătate - Medicamente OTC,Zerogaz comp. N20,Carbolemed SRL,Republica Moldova,"34,43"
45,Sănătate - Parafarmaceutice,A-Cerumen spray auricular 40ml Biessen,Gilbert Laboratoires,Franta,"246,72"
46,Vitamine și Minerale,A-ferin Forte comp. film. N30,Bilim Pharmaceuticals AS,Turcia,"46,01"
47,Vitamine și Minerale,A-ferin Forte comp. film. N30,Bilim Pharmaceuticals AS,Turcia,43
48,Sănătate - Medicamente OTC,Acard  comp. film. gastrorez. 75 mg  N30,"Pharmaceutical Works Polpharma S.A. (prod.: Actavis hf., Iceland, Islanda; Pharmaceutical Works Polp",Polonia,"18,74"
49,Sănătate - Medicamente OTC,Acarilbial sol. cutan.277 mg/ml 200 ml N1,BIAL-Portela & C. S.A.,Portugalia,"122,37"
50,Vitamine și Minerale,ACC 200mg granule pac. N20,"Hexal AG (prod.: Salutas Pharma GmbH, Germania)",Germania,"66,77"
51,Vitamine și Minerale,ACC Long comp. eferv. 600 mg N10,"Hexal AG (prod.: Salutas Pharma GmbH, Germania)",Germania,"52,79"
52,Vitamine și Minerale,"Ace pentru stilou injector de insulina 4mm - 5mm 32G, 0.23 x 4 mm N 100 Ayset Fine (compensat)","AYSET TIBBI URUNLER VE PLASTIK TEKSTIL ELEKTRONIK GIDA TEMIZLIK MADDELERI SAN. A.S., Turcia",Turcia,"67,13"
53,Vitamine și Minerale,"Ace pentru stilou injector de insulina 6 mm - 8 mm 32G, 0.23 X 6 mm N 100 Weigao (compensat)","Weigao Medical International Co.,Ltd.",China,174
54,Sănătate - Parafarmaceutice,Aceclofen sup.500 mg/50 mg N6x1 (Antibiotice),"Antibiotice SA, SC",Romania,"59,45"
55,Vitamine și Minerale,Aceclofenac comp. 100 mg N10x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"64,22"
56,Vitamine și Minerale,Acetilsalicilic comp. 500mg N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"4,69"
57,Sănătate - Medicamente OTC,Aciclovir caps. 200 mg N10x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"61,05"
58,Sănătate - Medicamente OTC,Aciclovir Terapia  comp. 200 mg N20,"Terapia SA, SC",Romania,"66,21"
59,Vitamine și Minerale,Acid ascorbic cu zahar 25mg N10 lamie  KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"9,94"
60,Vitamine și Minerale,Acid boric sol. cutan. 3% 20ml( Cojusna),Farmacia Cojusna SRL,Republica Moldova,"13,5"
61,Vitamine și Minerale,"Acid formic 1,4% 50ml (Cojusna) ",Farmacia Cojusna SRL,Republica Moldova,15
62,Sănătate - Medicamente OTC,Aciherpin crema	50 mg/g 5 g N1,Agio Pharmaceuticals Ltd,India,"24,54"
63,Sănătate - Parafarmaceutice,Actovegin 5ml sol.inj. N5,Nycomed Austria GmbH,Austria,"428,55"
64,Sănătate - Parafarmaceutice,Actovegin 5ml sol.inj. N5,Nycomed Austria GmbH,Austria,"335,82"
65,Sănătate - Medicamente OTC,Actrapid® HM Penfill® sol. inj. in cartus 100 UI/ml 3 ml N5,Novo Nordisk A/S,Danemarca,"359,44"
66,Sănătate - Parafarmaceutice,Acustivum 20ml spray Zdrovit ,NP Zdrovit,Polonia,"177,88"
67,Vitamine și Minerale,Acustivum durere spray auricular 20ml Zdrovit,NP Zdrovit,Polonia,"202,8"
68,Sănătate - Medicamente OTC,Ademta comp.gastrorez. 400mg N10x2,"World Medicine LTD, Georgia(PROD: World Medicine Ilac San. ve Ticaret A.Ş., Turcia; )",Georgia,"374,53"
69,Sănătate - Parafarmaceutice,Adenoprosin sup. 150mg N5x2 (Romania),Biotehnos SA,Romania,"220,8"
70,Sănătate - Parafarmaceutice,Adenoprosin sup. 150mg N5x2 (Romania),Biotehnos SA,Romania,"241,65"
71,Vitamine și Minerale,Adenoprozinc caps. N30,Biotehnos SA,Romania,"360,78"
72,Sănătate - Medicamente OTC,Adenuric® comp. film. 120 mg N14x2,"Menarini International Operations Luxembourg SA (prod.: Berlin-Chemie AG, Germania)",Luxemburg,"307,8"
73,Sănătate - Medicamente OTC,Adenuric® comp. film. 80 mg N14x2,"Menarini International Operations Luxembourg SA (prod.: Berlin-Chemie AG, Germania)",Luxemburg,"273,78"
74,Sănătate - Medicamente OTC,Adenuric® comp. film. 80 mg N14x2,"Menarini International Operations Luxembourg SA (prod.: Berlin-Chemie AG, Germania)",Luxemburg,"273,87"
75,Sănătate - Medicamente OTC,Advantan® crema 1 mg/g 30 g N1,"Intendis GmbH  (prod.: Intendis Manufacturing SpA, Italia)",Germania,"111,93"
76,Sănătate - Medicamente OTC,Aevit caps. N50 KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"67,46"
77,Sănătate - Medicamente OTC,"Afrin® Mentol spray nazal,sol.0,5 mg/ml 15 ml N1","Berlimed S.A., Spania",Romania,"91,79"
78,Sănătate - Medicamente OTC,"Afrin® spray nazal	0,5mg/ml 15ml	N1","Bayer S.R.L., România(PROD: Berlimed S.A., Spania; )",Romania,"89,27"
79,Sănătate - Parafarmaceutice,Aftifix gel oral 15g Fiterman,"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Romania,"163,96"
80,Sănătate - Parafarmaceutice,Agisept Mentol+Eucalipt N24,Agio Pharmaceuticals Ltd,India,"67,18"
81,Vitamine și Minerale,AirFluSal® Forspiro® pulb. de inhalat 50 mcg/250 mcg/doza N1 (60 doze),"Aeropharm GmbH, Germania",Germania,"291,53"
82,Vitamine și Minerale,AirFluSal® Forspiro® pulb. de inhalat 50 mcg/500 mcg/doza N1 (60 doze),"Aeropharm GmbH, Germania",Germania,"372,3"
83,Sănătate - Medicamente OTC,Airtal crema 15 mg/g  60g N1(Gedeon),Gedeon Richter PLC,Ungaria,"104,93"
84,Vitamine și Minerale,AKADIKA Propolis C Zmeura acadele N1 Fiterman,"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Romania,"100,64"
85,Sănătate - Medicamente OTC,Aksef comp.film. 500mg N10 (cefuroxim),"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"84,49"
86,Sănătate - Medicamente OTC,Aksef comp.film. 500mg N10 (cefuroxim),"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"81,96"
87,Sănătate - Medicamente OTC,Aksef comp.film. 500mg N10 (cefuroxim),"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"84,52"
88,Sănătate - Medicamente OTC,Aksef® pulb.+solv./sol. inj 750 mg N1 + 6 ml N1,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Pharmavision Sanyii ve Ticaret A.S., Turcia)",Turcia,"34,18"
89,Sănătate - Medicamente OTC,Aksen fort comp. 550mg N10,Ali Raif Ilac Sanayi A.S.,Turcia,"45,73"
90,Sănătate - Medicamente OTC,Albendazol comp. 200 mg N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"106,62"
91,Sănătate - Medicamente OTC,Albendazol comp. 200 mg N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"106,09"
92,Sănătate - Medicamente OTC,Albendazol-BP 400 mg comp.film. N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"162,54"
93,Vitamine și Minerale,Alcool etilic 70% 100ml (ElaDum)#,ElaDum Pharma SRL,Republica Moldova,"11,63"
94,Sănătate - Medicamente OTC,Aldazol comp.film.400mg N3 KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"51,17"
95,Sănătate - Medicamente OTC,Aldazol comp.film.400mg N3 KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"50,04"
96,Sănătate - Medicamente OTC,Aler-G comp.film. 10mg N20,GM Pharmaceuticals,Georgia,"54,63"
97,Sănătate - Medicamente OTC,Alergostop comp. 25 mg  N20 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"55,69"
98,Sănătate - Medicamente OTC,Alergostop sol. inj. 20 mg/ml 1 ml N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"76,17"
99,Sănătate - Medicamente OTC,Alflutop sol.inj. 1ml N10,Biotehnos SA,Romania,"381,15"
100,Sănătate - Medicamente OTC,Algoral comp.mast N36,Epsilon Health,Italia,"173,36"
101,Mamă și Copil,Algoral Infant sol. orala 210ml ,Epsilon Health,Italia,"218,59"
102,Sănătate - Medicamente OTC,Algoral plic. N20,Epsilon Health,Italia,"233,66"
103,Vitamine și Minerale,Alinan Digestie usoara plic N10 1an+  Fiterman,"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Republica Moldova,"313,55"
104,Vitamine și Minerale,Alinan Energie si pofta de mancare sirop 150 ml (+1an) + CADOU Fiterman,"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Romania,"315,11"
105,Sănătate - Medicamente OTC,Alka-Seltzer®comp. eferv.325 mg + 965 mg + 1625 mg N2x5,"Bayer Consumer Care AG  (prod.: Bayer Bitterfeld GmbH, Germania)",Elvetia,"82,86"
106,Vitamine și Minerale,Alle gel 10 mg + 500 UI/g  100 g (Fiterman),"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Romania,"195,49"
107,Vitamine și Minerale,Alle gel 10 mg + 500 UI/g 50g Fiterman,"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Romania,"160,28"
108,Sănătate - Medicamente OTC,Allego comp.film N30 (+16ani) Fiterman,Fiterman Pharma,Romania,"154,41"
109,Sănătate - Parafarmaceutice,AllergoVis pic.oft.(extr.din imortele) 15ml ochi sensibili ,Omisan Farmaceutici,Italia,"162,5"
110,Mamă și Copil,Alleva copii sirop 150ml,"Rotapharm Limited (prod.: Egyptian International Pharmaceutical Industries Co. E.I.P.I.Co, Egipt)",Turcia,"180,26"
111,Sănătate - Medicamente OTC,Allohol comp. N50 (BHFZ),"UCF Borsceagov SAI, CSP",Ucraina,"47,86"
112,Sănătate - Medicamente OTC,Allopurinol-BHFZ comp. 100mg N10x5,"UCF Borsceagov SAI, CSP",Ucraina,"45,37"
113,Sănătate - Medicamente OTC,Alora® comp. film. 100mg N10x3,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"84,41"
114,Sănătate - Medicamente OTC,Alora® comp. film. 100mg N10x3,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"84,42"
115,Sănătate - Medicamente OTC,Alora® comp. film. 100mg N10x3,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"83,56"
116,Sănătate - Medicamente OTC,"Alora® Ultra sirop 1,05g/5ml 100ml N1","Nobel Ilac Sanayii ve Ticaret A.S. (prod.: Nobel Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"101,01"
117,Sănătate - Medicamente OTC,"Alora® Ultra sirop 1,05g/5ml 100ml N1","Nobel Ilac Sanayii ve Ticaret A.S. (prod.: Nobel Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"100,96"
118,Sănătate - Medicamente OTC,Alzepil® comp. film. 10 mg N14x2 (Egis),Egis Pharmaceuticals PLC,Ungaria,"403,76"
119,Sănătate - Medicamente OTC,Ambroxol sirop 15mg/5ml 100ml,"Biofarm SA, SC",Romania,"41,67"
120,Sănătate - Medicamente OTC,Amitriptilina 25mg comp. N50 (GNTLS),"GNTLS SA, Uzina experimentala",Ucraina,"27,32"
121,Sănătate - Medicamente OTC,Amlodipin-BP 5mg comp. N10x3 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"31,08"
122,Sănătate - Medicamente OTC,Amlodipin-BP comp.10 mg N10x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"41,51"
123,Sănătate - Medicamente OTC,Amoxicilina cu Acid clavulanic pulb./sol. inj. 500 mg+100 mg N10 (China),Zhuhai United Laboratories (Zhongshan) Co. Ltd,China,"204,38"
124,Sănătate - Medicamente OTC,Ampril comp. 10mg N30,"KRKA d.d., Novo mesto",Slovenia,"67,92"
125,Sănătate - Medicamente OTC,Ampril comp. 10mg N30,"KRKA d.d., Novo mesto",Slovenia,"67,87"
126,Sănătate - Medicamente OTC,Ampril comp. 10mg N30,"KRKA d.d., Novo mesto",Slovenia,"67,83"
127,Sănătate - Medicamente OTC,Ampril comp. 5mg N30,"KRKA d.d., Novo mesto",Slovenia,"43,71"
128,Sănătate - Medicamente OTC,Ampril comp. 5mg N30,"KRKA d.d., Novo mesto",Slovenia,"43,77"
129,Sănătate - Medicamente OTC,Anaferon comp. homeopat. N20,"Materia Medica Holding SRL, FSP",Rusia,82
130,Mamă și Copil,Anaftin Baby gel 10ml,Alliance Pharma,Italia,"149,46"
131,Sănătate - Parafarmaceutice,Anaftin gel oral 8ml,Alliance Pharma,Italia,"147,43"
132,Sănătate - Parafarmaceutice,Anaftin spray 15ml,Alliance Pharma,Italia,"172,68"
133,Sănătate - Parafarmaceutice,Anaftin spray 15ml,Alliance Pharma,Italia,"172,17"
134,Sănătate - Parafarmaceutice,"Aneczem ung. 0,5 mg + 10 mg + 1000 UI 15 g N1",FarmaPrim SRL,Republica Moldova,"52,05"
135,Sănătate - Medicamente OTC,Angioflux sol. inj.600 ULS 2 ml N5x2,Aesculapius Farmaceutici SRL,Italia,"394,83"
136,Sănătate - Medicamente OTC,Ansimar comp.400 mg N10x2,ABC Farmaceutici SpA,Italia,"170,17"
137,Sănătate - Medicamente OTC,Antibactrin ung.20mg/g 15g N1,"Nobel Ilac Pazarlama ve Sanayii Ltd. Sti (prod.: Nobel Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"55,93"
138,Vitamine și Minerale,Anticarcel comp. filmate N28x2 Zdrovit ,NP Pharma Sp.z.o.o.,Polonia,"182,7"
139,Vitamine și Minerale,Anticarcel Rapid pulbere N20 Zdrovit ,NP Zdrovit,Polonia,"199,2"
140,Vitamine și Minerale,Antinevralgic P comp. N20,"Opella Healthcare Romania S.R.L., România(PROD: Opella Healthcare Hungary Kft., Ungaria; ,Opella Healthcare International SAS, Franţa; ,Sanofi Winthro",Romania,"45,83"
141,Vitamine și Minerale,Antinevralgic P comp. N20,"Opella Healthcare Romania S.R.L., România(PROD: Opella Healthcare Hungary Kft., Ungaria; ,Opella Healthcare International SAS, Franţa; ,Sanofi Winthro",Romania,"47,29"
142,Sănătate - Medicamente OTC,Antistres caps.N30 Nutrimed,Nutrimed TOB,Ucraina,"176,39"
143,Sănătate - Medicamente OTC,Anuzol supp. N10 (FP),FarmaPrim SRL,Republica Moldova,"33,9"
144,Sănătate - Medicamente OTC,Anxiomedin caps.N20 Nutrimed,Nutrimed TOB,Ucraina,"224,25"
145,Vitamine și Minerale,Anzibel® miere si lamaie pastile 5 mg + 4 mg + 3 mg N10x2,"Nobel Ilac Sanayii ve Ticaret A.S. (prod.: Nobel Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"68,25"
146,Vitamine și Minerale,Anzibel® miere si lamaie pastile 5 mg + 4 mg + 3 mg N10x2,"Nobel Ilac Sanayii ve Ticaret A.S. (prod.: Nobel Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"70,68"
147,Vitamine și Minerale,Apa minerala PEO ReO 950ml,Iuria-Farm SRL,Ucraina,"41,42"
148,Sănătate - Medicamente OTC,Apa p/u injectii solv. 5 ml N10 Lekhim,Lekhim-Harikov SAI,Ucraina,"29,73"
149,Sănătate - Medicamente OTC,Apivit sirop 100ml Infomedica,Depofarm SRL,Republica Moldova,"133,38"
150,Sănătate - Medicamente OTC,Apuretin Slim caps. N60 Zdrovit,NP Zdrovit,Polonia,"345,87"
151,Vitamine și Minerale,Aquadetrim Vit.D3 sol. 10 ml,Medana Pharma SA,Polonia,"57,46"
152,Vitamine și Minerale,Aquadetrim Vit.D3 sol. 10 ml,Medana Pharma SA,Polonia,"58,86"
153,Sănătate - Medicamente OTC,Arcoxia® comp. film. 60 mg N7x4,"Schering-Plough Central East AG (prod.: Centocor BV, Olanda)",Elvetia,"326,09"
154,Sănătate - Medicamente OTC,Arlevert comp. 20 mg + 40 mg  N25x2,Hennig Arzneimittel GmbH&Co. KG,Germania,"346,87"
155,Sănătate - Medicamente OTC,Arpeflu	comp.film. 200 mg N10,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Belarus,"117,14"
156,Sănătate - Medicamente OTC,Arpeflu comp. film. 100mg N10,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Belarus,"65,57"
157,Sănătate - Medicamente OTC,Arpeflu comp. film. 100mg N10,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Belarus,"63,91"
158,Sănătate - Medicamente OTC,Arpeflu comp. film. 50mg N10,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Belarus,"29,71"
159,Sănătate - Medicamente OTC,Arterin comp. N90,Richard Bittner GmbH,Austria,"598,2"
160,Sănătate - Medicamente OTC,Artoxan pulb.+solv./sol.inj. 20 mg N3+2 ml N3,"Rotapharm Limited (prod.: Egyptian International Pharmaceutical Industries Co. E.I.P.I.Co, Egipt)",Marea Britanie,"99,6"
161,Sănătate - Parafarmaceutice,Artrocol sup.100 mg N5x2,"World Medicine (prod.: Rompharm Company SRL, SC, Romania)",Marea Britanie,"34,5"
162,Sănătate - Medicamente OTC,Artrostaw comp. N15X2,Pharmacy Laboratories S.C.,Polonia,"160,88"
163,Vitamine și Minerale,Asiglia® comp. filmate 100mg N14x2 KRKA,"KRKA d.d., Novo mesto",Slovenia,"186,48"
164,Sănătate - Medicamente OTC,Aspacardin® 39 mg/12 mg comp.N10x3,"Terapia SA, SC",Romania,"43,21"
165,Sănătate - Medicamente OTC,Aspan comp. gastrorez.40 mg N14x2,Drogsan Ilaclari Sanayi ve Ticaret A.S.,Turcia,"114,67"
166,Vitamine și Minerale,"Aspecton® Picaturi de Tuse pic. orale, sol. 4,23 g/10 ml  30 ml N1",Krewel Meuselbach GmbH,Germania,"94,96"
167,Vitamine și Minerale,"Aspecton® Picaturi de Tuse pic. orale, sol. 4,23 g/10 ml  30 ml N1",Krewel Meuselbach GmbH,Germania,"95,43"
168,Vitamine și Minerale,"Aspecton® Sirop de Tuse sirop 6,69 g/100 ml  100 ml N1",Krewel Meuselbach GmbH,Germania,"111,26"
169,Vitamine și Minerale,Aspirin Plus C comp. eferv. 400 mg/240 mg N2x10,"Bayer Consumer Care AG  (prod.: Bayer AG, Germania)",Elvetia,"124,07"
170,Vitamine și Minerale,Aspirin Plus C comp. eferv. 400 mg/240 mg N2x10,"Bayer Consumer Care AG  (prod.: Bayer AG, Germania)",Elvetia,"126,76"
171,Vitamine și Minerale,Aspirin Plus C comp. eferv. 400 mg/240 mg N2x5,"Bayer Consumer Care AG  (prod.: Bayer AG, Germania)",Elvetia,"91,74"
172,Sănătate - Medicamente OTC,Aspirin® Cardio comp. gastrorez. 100 mg  N14x2,"Bayer Pharma AG (prod.: Bayer HealthCare Manufacturing S.R.L., Germania; Bayer Pharma AG, Germania;",Romania,"33,32"
173,Vitamine și Minerale,Astenor Energy SBA sol.orala 10ml N20 (astenie) Biessen,Pharmacy Laboratories S.C.,Portugalia,"307,2"
174,Vitamine și Minerale,Astenor Forte sol.orala 10ml N20 Biessen,"Laboratoires TOP Pharm  (prod.: Delpharm Tours, Franta; Laboratoires Biophelia, Franta; Pasquier Lab",Franta,"424,52"
175,Vitamine și Minerale,Astenor Forte sol.orala 10ml N20 Biessen,"Laboratoires TOP Pharm  (prod.: Delpharm Tours, Franta; Laboratoires Biophelia, Franta; Pasquier Lab",Franta,"422,4"
176,Sănătate - Medicamente OTC,AteroLip caps. N15x2,Lotus Pharma,Letonia,"187,5"
177,Sănătate - Medicamente OTC,Atoris comp. film. 10mg N10x3,"KRKA d.d., Novo mesto",Slovenia,"49,29"
178,Sănătate - Medicamente OTC,Augmentin BIS pulb./susp. orala 400 mg + 57 mg/5 ml 70 ml,Glaxo SmithKline Beecham Biologicals SA,Marea Britanie,"73,61"
179,Sănătate - Medicamente OTC,Augmentin BIS pulb./susp. orala 400 mg + 57 mg/5 ml 70 ml,Glaxo SmithKline Beecham Biologicals SA,Marea Britanie,"73,19"
180,Sănătate - Medicamente OTC,Augmentin comp.film. 1g N14,"Beecham Group PLC  (prod.: SmithKline Beecham PLC, Marea Britanie)",Marea Britanie,"105,55"
181,Sănătate - Medicamente OTC,Augmentin comp.film. 625mg N14,"Beecham Group PLC T/A GlaxoSmithKline UK (prod.: SmithKline Beecham Pharmaceutcals, Marea Britanie)",Marea Britanie,"108,71"
